Id;Lesson;Vocabulary;Pronunciation;EnglishDef;Learned;Bookmarked
1;1;Abate;Low;Become less in amount or intensity or decreasing;0;0
2;1;Aberrant;High;Different from the usual or natural type. Abnormal or Deviant.;0;0
3;1;Abeyance;Medium;A state of temporary disuse or suspension.;0;0
4;1;Abscond;Low;Leave hurriedly and secretly, typically to escape from custody or avoid arrest.;0;0
5;1;Abstemious;Low;sparing in eating and drinking; not affected by alcohol; not drunk.;0;0
6;1;Accede;Low;agree to a demand, request, or treaty.;0;0
7;1;Accolade;High;an award or privilege granted as a special honour or as an acknowledgement of merit.;0;0
8;1;Accord;Medium;give or grant someone (power, status, or recognition).;0;0
9;1;Admonish;Low;advise or urge (someone) earnestly.;0;0
10;1;Adulterate;Low;to corrupt; make impure by adding inferior or tainted substances;0;0
11;2;Advent;High;arrival of thing or person;0;0
12;2;Aesthetic;High;artistic; pleasing in appearance;0;0
13;2;Aggregate;High;formed or calculated by the combination of several separate elements; total.;0;0
14;2;Alacrity;Low;cheerful promptness; eagerness;0;0
15;2;Alleviate;High;make (suffering, deficiency, or a problem) less severe. Provide physical relief;0;0
16;2;Amalgamate;Medium;combine or unite to form one organization or structure.;0;0
17;2;Ambiguous;High;unclear or uncertain or doubtful in meaning;0;0
18;2;Ambivalence;High;the state of having mixed feelings or contradictory ideas about something or someone.;0;0
19;2;Ameliorate;High;improve or to make better;0;0
20;2;Anachronism;Medium;something as happening in other than chronological, proper, or historical order. Especially a person or practice that belongs to an earlier time;0;0
21;3;Analogous;High;comparable in certain respects / typically in a way which makes clearer the nature of the things compared.;0;0
22;3;Anarchy;Medium;a state of disorder due to absence or non-recognition of authority or other controlling systems.;0;0
23;3;Anomalous;High;abnormal; irregular; deviating from what is standard, normal, or expected.;0;0
24;3;Antipathy;Medium;dislike; a deep-seated feeling of aversion.;0;0
25;3;Apathy;High;lack of caring, interest, enthusiasm, or concern; indifferent;0;0
26;3;Appease;Low;pacify or soothe; to lessen the anger or agitation;0;0
27;3;Apprise;Low;inform or tell (someone).;0;0
28;3;Approbation;Low;approval or praise;0;0
29;3;Appropriate;High;take (something) for one's own use, typically without the owner's permission..;0;0
30;3;Artless;Low;without guile; open and honest; natural and simple.;0;0
31;4;Ascetic;High;having a strict and simple way of living that avoids physical pleasure.;0;0
32;4;Assiduous;Low;showing great care, attention, and effort;0;0
33;4;Assuage;Medium;make less intense and satisfy;0;0
34;4;Attenuate;High;make thinner; weaken or lessen;0;0
35;4;Audacious;Medium;showing a willingness to take surprisingly bold risks.;0;0
36;4;Austere;High;severe or strict in manner or attitude.;0;0
37;4;Autonomous;High;having the freedom to govern itself or control its own affairs.;0;0
38;4;Aver;Low;say confidently or declare; as used in law, as a fact;0;0
39;4;Banal;High;lacking in originality;0;0
40;4;Beneficent;Low;doing good; resulting in good.;0;0
41;5;Bolster;High;support or strengthen.;0;0
42;5;Bombastic;Medium;high-sounding but with little meaning; using inflated language;0;0
43;5;Boorish;High;rude; rough and bad-mannered;;0;0
44;5;Burgeoning;High;begin to grow or increase rapidly; growing quickly;0;0
45;5;Burnish;High;make shinny by rubbing; polish;0;0
46;5;Buttress;Medium;a source of defence or support.;0;0
47;5;Cacophonous;High;involving or producing a harsh, discordant mixture of sounds.;0;0
48;5;Capricious;Low;unpredictable; unaccountable changes of mood or behaviour.;0;0
49;5;Castigation;Low;punishment; severe criticism;0;0
50;5;Catalyst;Medium;person or thing that causes action;0;0
51;6;Caustic;Low;able to burn; sarcastically biting;0;0
52;6;Cessation;Medium;stoppage; brought to an end.;0;0
53;6;Cession;Low;yielding to another; surrendering;0;0
54;6;Chicanery;Medium;Use of clever underhanded actions to achieve an end;0;0
55;6;Cogent;Medium;clear, logical, and convincing.;0;0
56;6;Commensurate;High;corresponding in size or degree; in proportion.;0;0
57;6;Compendium;High;detailed information about a particular subject;0;0
58;6;Complaisant;Low;trying to please; overly polite;0;0
59;6;Compliant;High;obey rules, especially to an excessive degree;0;0
60;6;Conciliatory;Medium;to make (someone) more friendly or less angry;0;0
61;7;Condone;High;accept (behaviour that is considered morally wrong or offensive). forgive; excuse;0;0
62;7;Confound;Low;cause surprise or confusion in (someone);0;0
63;7;Connoisseur;Medium;an expert judge in matters of taste.;0;0
64;7;Contention;Medium;heated disagreement.;0;0
65;7;Contentious;High;causing or likely to cause an argument; controversial.;0;0
66;7;Contrite;Low;feeling or expressing pain or sorrow for sins or offenses;0;0
67;7;Converge;High;approach; tend to meet;0;0
68;7;Convoluted;High;extremely complex and difficult to follow.;0;0
69;7;Craven;Medium;lack of courage, cowardly;0;0
70;7;Daunt;Medium;to make (someone) afraid or less confident;0;0
71;8;Decorum;Low;propriety; orderliness and good taste in manners;0;0
72;8;Default;High;failure to fulfil a bond;0;0
73;8;Deference;Medium;polite submission and respect.;0;0
74;8;Delineate;Medium;to draw; sketch;0;0
75;8;Denigrate;High;criticize unfairly;0;0
76;8;Deride;Low;make fun of or laughter;0;0
77;8;Derivative;High;unoriginal; obtained from another source;0;0
78;8;Desiccate;High;remove the moisture from (something), typically in order to preserve it.;0;0
79;8;Desultory;Low;aimless; lacking a plan, purpose, or enthusiasm;0;0
80;8;Deterrent;Medium;something that discourages;0;0
81;9;Diatribe;Medium;a forceful and bitter verbal attack against someone or something.;0;0
82;9;Dichotomy;Medium;branching into two parts;0;0
83;9;Diffidence;Low;lack of self-confidence.;0;0
84;9;Diffuse;High;wordy; rambling; spread out;0;0
85;9;Digression;Low;wandering away from the subject;0;0
86;9;Disabuse;Medium;correct a false impression;0;0
87;9;Discerning;Low;having or showing good judgement.;0;0
88;9;Discordant;Low;disagreeing and conflicting;0;0
89;9;Discredit;Medium;destroy confidence in; harm the good reputation of.;0;0
90;9;Discrepancy;High;lack of consistency or similarity between two or more facts.;0;0
91;10;Discrete;High;individually separate and distinct.;0;0
92;10;Disingenuous;Medium;not candid or sincere, typically by pretending that one knows less about something than one really does.;0;0
93;10;Disinterested;Low;not influenced by considerations of personal advantage;0;0
94;10;Disjointed;High;lacking coherence; separated at the joints;0;0
95;10;Dismiss;High;eliminate from consideration; reject;0;0
96;10;Disparage;Medium;represent as being of little worth.;0;0
97;10;Disparate;High;essentially different in kind; not able to be compared.;0;0
98;10;Dissemble;Low;imitate one's true feelings or beliefs.;0;0
99;10;Disseminate;High;spread (something, especially information) widely.;0;0
100;10;Dissolution;Medium;the action of formally ending;0;0
101;11;Dissonance;High;lack of harmony among musical notes.;0;0
102;11;Distend;Low;cause to swell by pressure from inside.;0;0
103;11;Distill;High;purify (a liquid) by heating it so that it vaporizes;0;0
104;11;Diverge;High;separate from another route and go in a different direction.;0;0
105;11;Divest;Low;to end the occupancy or possession;0;0
106;11;Document;High;a piece of written, printed, or electronic matter that provides information or evidence;0;0
107;11;Dogmatic;Medium;marked by the forceful expression;0;0
108;11;Dormant;High;in or as if in a deep sleep.;0;0
109;11;Dupe;Low;someone easily fooled;0;0
110;11;Ebullient;High;showing excitement; overflowing with enthusiasm;0;0
111;12;Eclectic;High;taste from a broad and diverse range of sources;0;0
112;12;Efficacy;High;power to produce desired effect;0;0
113;12;Effrontery;Low;rude behaviour.;0;0
114;12;Elegy;Low;poem or song expressing sarrow;0;0
115;12;Elicit;High;draw out by discussion;0;0
116;12;Embellish;Low;make (something) more attractive;0;0
117;12;Empirical;High;verifiable by observation or experience rather than theory or pure logic.;0;0
118;12;Emulate;High;to be the same in meaning or effect;0;0
119;12;Endemic;Medium;belonging to a particular place by birth or origin;0;0
120;12;Enervate;Low;make (someone) feel weaken;0;0
121;13;Engender;High;to be the cause of (a situation, action, or state of mind);0;0
122;13;Enhance;Medium;further improve the quality, value;0;0
123;13;Ephemeral;High;lasting for a very short time.;0;0
124;13;Equanimity;Medium;calmness and composure, especially in a difficult situation.;0;0
125;13;Equivocate;Medium;to avoid giving a definite answer or misleading;0;0
126;13;Erudite;Medium;showing great knowledge;0;0
127;13;Esoteric;High;hard to understand; known only to the chosen few;0;0
128;13;Eulogy;Low;expression of praise (or) often on the occasion of someone's death;0;0
129;13;Euphemism;Medium;mild expression in place of an unpleasant one;0;0
130;13;Exacerbate;High;make (a problem, bad situation, or negative feeling) worse.;0;0
131;14;Exculpate;Low;show or declare that (someone) is not guilty of wrongdoing.;0;0
132;14;Exigency;Low;urgent situation; an urgent need or demand.;0;0
133;14;Extrapolation;Medium;projection; conjecture;0;0
134;14;Facetious;Low;treating serious issues with inappropriate humour;0;0
135;14;Facilitate;High;make less difficult; make (an action or process) easy or easier.;0;0
136;14;Fallacious;Low;based on a mistaken belief.;0;0
137;14;Fatuous;Medium;silly and pointless.;0;0
138;14;Fawning;Medium;do favors in order to win approval especially from a superior;0;0
139;14;Felicitous;Low;well chosen or suited to the circumstances.;0;0
140;14;Fervor;High;intense and passionate feeling.;0;0
141;15;Flag;High;mark (an item) for attention or treatment in a specified way.;0;0
142;15;Fledgling;High;a person or organization that is immature, inexperienced, or underdeveloped.;0;0
143;15;Flout;High;openly disregard;0;0
144;15;Foment;Low;instigate or stir up (an undesirable or violent sentiment or course of action).;0;0
145;15;Forestall;Medium;prevent by taking action in advance;0;0
146;15;Frugality;Low;careful management of material resources;0;0
147;15;Futile;Medium;incapable of producing useful result;0;0
148;15;Gainsay;Low;deny or contradict (a fact or statement).;0;0
149;15;Garrulous;Medium;excessively talkative, especially on trivial matters.;0;0
150;15;Goad;Medium;strong action or reaction on someone;0;0
151;16;Grandiloquent;Low;pompous; bombastic; using high-sounding language;0;0
152;16;Gregarious;Medium;(of a person) fond of company; sociable.;0;0
153;16;Guileless;Medium;innocent and without deception.;0;0
154;16;Gullible;High;easily persuaded to believe something;0;0
155;16;Harangue;Low;a lengthy and aggressive speech.;0;0
156;16;Homogeneous;High;of the same kind;0;0
157;16;Hyperbole;High;exaggerated statements or claims not meant to be taken literally;0;0
158;16;Iconoclastic;High;criticizing or attacking cherished beliefs or institutions.;0;0
159;16;Idolatry;Low;the worship of idols.;0;0
160;16;Immutable;Medium;unable to be changed.;0;0
161;17;Impair;High;weaken or damage (something, especially a faculty or function).;0;0
162;17;Impassive;High;not feeling or showing emotion.;0;0
163;17;Impede;Medium;delay or prevent (someone or something) by obstructing them;0;0
164;17;Impermeable;Medium;not allowing fluid to pass through.;0;0
165;17;Imperturbable;Low;unable to be upset or excited; calm.;0;0
166;17;Implacable;Low;incapable of being pacified; unable to be allay or placated.;0;0
167;17;Implicit;High;suggested though not directly expressed.;0;0
168;17;Implode;Medium;to fall down or in as a result of physical pressure;0;0
169;17;Inadvertently;High;without intention; accidentally.;0;0
170;17;Inchoate;Medium;just begun and so not fully formed or developed;0;0
171;18;Incongruity;High;lack of harmony; absurdity;0;0
172;18;Incorporate;High;introduce something into a larger whole; combine;0;0
173;18;Indeterminate;High;not exactly known, established, or defined;0;0
174;18;Indigence;Low;a state of extreme poverty;0;0
175;18;Indolent;Low;wanting to avoid activity; lazy.;0;0
176;18;Inert;Medium;lacking power to move;0;0
177;18;Ingenuous;Low;(of a person or action) innocent and unsuspecting.;0;0
178;18;Inherent;High;firmly established by nature or habit;0;0
179;18;Innocuous;High;not harmful or offensive.;0;0
180;18;Insensible;Low;without one's mental faculties, typically as a result of injury or intoxication; unconscious.;0;0
181;19;Insinuate;Low;suggest (or) hint (something bad) in an indirect and unpleasant way.;0;0
182;19;Insipid;Low;lacking flavour; weak or tasteless.;0;0
183;19;Insularity;Medium;ignorance of or lack of interest in cultures, ideas, or peoples outside one's own experience.;0;0
184;19;Intractable;High;hard to control or deal with.;0;0
185;19;Intransigence;Low;refusal of any compromise; stubbornness;0;0
186;19;Inundate;Medium;covered by full of water; flood;0;0
187;19;Inured;Low;something unpleasant; hardened;0;0
188;19;Irascible;Medium;easily irritated or annoyed;0;0
189;19;Irresolute;Low;showing or feeling hesitancy; uncertain.;0;0
190;19;Itinerary;Medium;a planned route or journey.;0;0
191;20;Laconic;Medium;brief and to the point;0;0
192;20;Lassitude;Low;a complete depletion of energy or strength;0;0
193;20;Latent;High;not being in a state of use, activity, or employment;0;0
194;20;Laud;Low;praise (a person or their achievements) highly;0;0
195;20;Lethargic;High;slow to move or act;0;0
196;20;Levity;Low;lack of seriousness or steadiness; frivolity;0;0
197;20;Log;High;a regular or systematic record of incidents or observations.;0;0
198;20;Loquacious;Medium;tending to talk a great deal; talkative.;0;0
199;20;Lucid;High;expressed clearly; easy to understand.;0;0
200;20;Luminous;Medium;giving off light; bright or shining.;0;0
201;21;Magnanimity;Low;the fact or condition of being magnanimous; generosity.;0;0
202;21;Malingerer;Low;one who feigns illness to escape duty;0;0
203;21;Malleable;Medium;capable of being easily molded or modeled;0;0
204;21;Maverick;High;independent-minded person.;0;0
205;21;Mendacious;Low;not telling the truth; lying.;0;0
206;21;Metamorphosis;Medium;change of form;0;0
207;21;Meticulous;High;showing great attention to detail; very careful and precise.;0;0
208;21;Misanthrope;Low;a person who dislikes humankind and avoids human society.;0;0
209;21;Mitigate;High;make (something bad) less severe, serious, or painful.;0;0
210;21;Mollify;Medium;reduce the severity of (something).;0;0
211;22;Morose;Medium;causing or marked by an atmosphere lacking in cheer;0;0
212;22;Mundane;High;lacking interest or excitement; dull.;0;0
213;22;Negate;High;deny the existence of.;0;0
214;22;Neophyte;High;a person who is new to a subject or activity.;0;0
215;22;Obdurate;Low;having or showing a lack of sympathy or tender feelings;0;0
216;22;Obsequious;Low;obedient or attentive to an excessive or servile degree.;0;0
217;22;Obviate;Low;make unnecessary; get rid of;0;0
218;22;Officious;Low;enthusiastic in offering help or advice;0;0
219;22;Onerous;High;involving a great deal of effort, trouble, or difficulty.;0;0
220;22;Opprobrium;Medium;harsh criticism or censure.;0;0
221;23;Oscillate;High;move or swing back and forth in a regular rhythm.;0;0
222;23;Ostentatious;Low;showy; pretentious; trying to attract attention;0;0
223;23;Paragon;High;model of perfection;0;0
224;23;Partisan;High;a strong supporter of a party, cause, or person.;0;0
225;23;Pathological;Medium;pertaining to disease;0;0
226;23;Paucity;Medium;insufficient quantities or amounts.;0;0
227;23;Pedantic;Low;showing off learning; bookish;0;0
228;23;Penchant;High;a strong or habitual liking for something or tendency to do something.;0;0
229;23;Penury;Low;the state of being very poor; extreme poverty.;0;0
230;23;Perennial;High;existing for a long;0;0
231;24;Perfidious;Low;not true in one's allegiance to someone or something;0;0
232;24;Perfunctory;Medium;carried out without real interest, feeling, or effort.;0;0
233;24;Permeable;Medium;allowing liquids or gases to pass through it.;0;0
234;24;Pervasive;High;spreading widely throughout an area or a group of people.;0;0
235;24;Phlegmatic;Low;calm; not easily disturbed;0;0
236;24;Piety;Low;belief and trust in and loyalty to God;0;0
237;24;Placate;Medium;make (someone) less angry or hostile.;0;0
238;24;Plasticity;High;the quality of being easily shaped or moulded.;0;0
239;24;Platitude;Medium;an idea or expression that has been used by many people;0;0
240;24;Plethora;High;a large or excessive amount of something.;0;0
241;25;Porous;High;capable of being passed into or through;0;0
242;25;Pragmatic;High;practical; concerned with the practical worth or impact of something;0;0
243;25;Precarious;Low;dependent on chance; uncertain.;0;0
244;25;Precipitate;Low;cause to happen suddenly, unexpectedly, or prematurely.;0;0
245;25;Precursor;High;a person or thing that comes before another of the same kind; a forerunner.;0;0
246;25;Presumptuous;Low;showing a lack of proper social reserve or modesty;0;0
247;25;Prevaricate;Low;to make a statement one knows to be untrue; lie;0;0
248;25;Pristine;High;unused or unspoiled state;0;0
249;25;Probity;Low;the quality of having strong moral principles;0;0
250;25;Problematic;High;presenting a problem.;0;0
251;26;Prodigal;Medium;wasteful; reckless with money;0;0
252;26;Profound;High;very great or intense.;0;0
253;26;Prohibitive;Medium;tending to prevent the purchase or use of something; inclined to prevent or forbid;0;0
254;26;Proliferate;High;increase rapidly in number; multiply.;0;0
255;26;Propensity;Low;an inclination or natural tendency to behave in a particular way.;0;0
256;26;Propitiate;Low;win or regain the favour of (a god, spirit, or person) by doing something that pleases them.;0;0
257;26;Propriety;Low;socially acceptable behavior;0;0
258;26;Proscribe;Medium;banish; not to do or use;0;0
259;26;Qualified;High;competent or knowledgeable to do something; capable.;0;0
260;26;Quibble;Low;minor objection or complaint;0;0
261;27;Quiescent;Medium;in a state or period of inactivity or dormancy;0;0
262;27;Rarefied;Low;lower pressure than usual;0;0
263;27;Recalcitrant;High;given to resisting authority or another's control;0;0
264;27;Recant;Low;to solemnly or formally reject or go back on;0;0
265;27;Recondite;Low;abstruse; profound; secret;0;0
266;27;Refractory;Medium;stubborn, unmanageable;0;0
267;27;Refute;Medium;prove (a statement or theory) to be wrong or false; disprove.;0;0
268;27;Relegate;High;banish to an inferior position; delegate;0;0
269;27;Reproach;Low;express disapproval or disappointment;0;0
270;27;Reprobate;Low;person hardened in sin;0;0
271;28;Repudiate;Medium;refuse to accept; reject.;0;0
272;28;Rescind;Medium;cancel; to put an end to;0;0
273;28;Resolution;Medium;a firm decision to do or not to do something.;0;0
274;28;Resolve;Medium;settle or find a solution to (a problem or contentious matter).;0;0
275;28;Reticent;High;not revealing one's thoughts or feelings readily.;0;0
276;28;Reverent;High;feeling or showing deep and solemn respect.;0;0
277;28;Sage;High;person celebrated for wisdom (especially in ancient history or legend) a profoundly wise man.;0;0
278;28;Salubrious;Low;health-giving; healthy.;0;0
279;28;Sanction;Medium;official permission or approval for an action.;0;0
280;28;Satiate;Low;satisfy fully;0;0
281;29;Saturate;Medium;soak thoroughly;0;0
282;29;Savor;High;have a distinctive flavor, smell, or quality;0;0
283;29;Secrete;High;to put into a hiding place;0;0
284;29;Shard;High;a piece of broken ceramic, metal, glass, or rock, typically having sharp edges.;0;0
285;29;Skeptic;Medium;doubter; person who suspends judgement until having examined the evidence supporting a point of view;0;0
286;29;Solicitous;Low;characterized by or showing interest or concern.;0;0
287;29;Soporific;Medium;sleep-causing; marked by sleepiness;0;0
288;29;Specious;Low;seemingly reasonable but incorrect;0;0
289;29;Spectrum;High;colored band produced when a beam of light passes through a prism;0;0
290;29;Sporadic;Medium;occurring irregualrly;0;0
291;30;Stigma;High;a mark of guilt or disgrace;0;0
292;30;Stint;Medium;limitation of supply or effort.;0;0
293;30;Stipulate;Medium;demand or specify (a requirement), typically as part of an agreement.;0;0
294;30;Stolid;Low;calm, dependable, and showing little emotion or animation.;0;0
295;30;Subpoena;High;a written notice ordering a person to appear in court;0;0
296;30;Subside;Medium;become less intense, violent, or severe.;0;0
297;30;Substantiate;High;provide evidence to support or prove the truth of.;0;0
298;30;Supersede;Low;to take the place of;0;0
299;30;Supposition;Low;a belief held without proof or certain knowledge; an assumption or hypothesis.;0;0
300;30;Tacit;Medium;understood or implied without being stated.;0;0
301;31;Tangential;Medium;only slightly connected; hardly touching a matter;0;0
302;31;Tenuous;High;very weak or slight.;0;0
303;31;Tirade;Medium;a long, angry speech of criticism or accusation.;0;0
304;31;Torpor;Low;a state of physical or mental inactivity; lethargy.;0;0
305;31;Tortuous;Medium;full of twists and turns.;0;0
306;31;Tractable;Medium;easy to control or influence.;0;0
307;31;Transgression;Low;violation of law sin;0;0
308;31;Truculence;Medium;an inclination to fight or quarrel;0;0
309;31;Vacillate;High;to show uncertainty about the right course of action;0;0
310;31;Venerate;Low;regard with great respect;0;0
311;32;Veracious;Low;speaking or representing the truth.;0;0
312;32;Verbose;High;using or expressed in more words than are needed.;0;0
313;32;Viable;Medium;practical or workable; capable of maintaining life;0;0
314;32;Viscous;High;having a thick, sticky consistency between solid and liquid; having a high viscosity.;0;0
315;32;Vituperative;Medium;marked by harsh insulting language;0;0
316;32;Volatile;Medium;liable to change rapidly and unpredictably, especially for the worse.;0;0
317;32;Warrant;Medium;justify or necessitate (a course of action).;0;0
318;32;Wary;High;feeling or showing caution about possible dangers or problems.;0;0
319;32;Welter;Medium;a large number of items in no order; a confused mass.;0;0
320;32;Whimsical;Low;playfully quaint or fanciful, especially in an appealing and amusing way.;0;0
321;32;Zealot;Medium;person who shows excessive zeal;0;0
